County,Date,Cases,Deaths,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region,total.pop
Kandiyohi,5/8/2020,261,1,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,42577
Kittson,5/8/2020,1,0,069,A,Entirely rural,EDR 1 - Northwest,Northwest,4384
Koochiching,5/8/2020,1,0,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,12776
Lac qui Parle,5/8/2020,2,0,073,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,6840
Lake,5/8/2020,1,0,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,10578
Lake of the Woods,5/8/2020,NA,NA,077,A,Entirely rural,EDR 2 - Headwaters,Northwest,3841
Le Sueur,5/8/2020,28,0,079,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,27810
Lincoln,5/8/2020,3,0,081,A,Entirely rural,EDR 8 - Southwest,Southwest,5724
Lyon,5/8/2020,16,0,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,25789
Mahnomen,5/8/2020,2,1,087,A,Entirely rural,EDR 2 - Headwaters,Northwest,5500
Marshall,5/8/2020,8,0,089,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest,9397
Martin,5/8/2020,111,4,091,B,Town/rural mix,EDR 9 - South Central,Southwest,20084
McLeod,5/8/2020,8,0,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,35816
Meeker,5/8/2020,20,0,093,B,Town/rural mix,EDR 6E- Southwest Central,Central,23105
Mille Lacs,5/8/2020,6,1,095,C,Urban/town/rural mix,EDR 7E- East Central,Central,25635
Morrison,5/8/2020,12,0,097,B,Town/rural mix,EDR 5 - North Central,Northwest,32880
Mower,5/8/2020,37,0,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,39386
Murray,5/8/2020,26,0,101,A,Entirely rural,EDR 8 - Southwest,Southwest,8394
Nicollet,5/8/2020,18,2,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,33477
Nobles,5/8/2020,1177,2,105,B,Town/rural mix,EDR 8 - Southwest,Southwest,21854
Norman,5/8/2020,9,0,107,A,Entirely rural,EDR 1 - Northwest,Northwest,6589
Olmsted,5/8/2020,351,9,109,D,Entirely urban,EDR 10 - Southeast,Southeast,151685
Otter Tail,5/8/2020,21,0,111,B,Town/rural mix,EDR 4 - West Central,Northwest,57790
Pennington,5/8/2020,1,0,113,B,Town/rural mix,EDR 1 - Northwest,Northwest,14197
Pine,5/8/2020,61,0,115,C,Urban/town/rural mix,EDR 7E- East Central,Central,29057
Pipestone,5/8/2020,6,0,117,B,Town/rural mix,EDR 8 - Southwest,Southwest,9229
Polk,5/8/2020,45,0,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest,31564
Pope,5/8/2020,5,0,121,B,Town/rural mix,EDR 4 - West Central,Northwest,10932
Ramsey,5/8/2020,800,42,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,537893
Red Lake,5/8/2020,1,0,125,A,Entirely rural,EDR 1 - Northwest,Northwest,4017
Redwood,5/8/2020,3,0,127,B,Town/rural mix,EDR 8 - Southwest,Southwest,15430
Renville,5/8/2020,6,0,129,A,Entirely rural,EDR 6E- Southwest Central,Central,14798
Rice,5/8/2020,81,1,131,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,65251
Rock,5/8/2020,19,0,133,C,Urban/town/rural mix,EDR 8 - Southwest,Southwest,9433
Roseau,5/8/2020,1,0,135,B,Town/rural mix,EDR 1 - Northwest,Northwest,15537
Scott,5/8/2020,121,1,139,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,141463
Sherburne,5/8/2020,95,1,141,D,Entirely urban,EDR 7W- Central,Central,92024
Sibley,5/8/2020,3,0,143,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,14888
St. Louis,5/8/2020,90,12,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,200294
Stearns,5/8/2020,1274,4,145,C,Urban/town/rural mix,EDR 7W- Central,Central,155300
Steele,5/8/2020,45,0,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,36612
Stevens,5/8/2020,1,0,149,B,Town/rural mix,EDR 4 - West Central,Northwest,9759
Swift,5/8/2020,3,0,151,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,9448
Todd,5/8/2020,29,0,153,B,Town/rural mix,EDR 5 - North Central,Northwest,24423
Traverse,5/8/2020,3,0,155,A,Entirely rural,EDR 4 - West Central,Northwest,3357
Wabasha,5/8/2020,13,0,157,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,21490
Wadena,5/8/2020,4,0,159,B,Town/rural mix,EDR 5 - North Central,Northwest,13626
Waseca,5/8/2020,13,0,161,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,18898
Washington,5/8/2020,211,12,163,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,250979
Watonwan,5/8/2020,19,0,165,B,Town/rural mix,EDR 9 - South Central,Southwest,10936
Wilkin,5/8/2020,11,3,167,B,Town/rural mix,EDR 4 - West Central,Northwest,6398
Winona,5/8/2020,68,15,169,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,50992
Wright,5/8/2020,83,1,171,C,Urban/town/rural mix,EDR 7W- Central,Central,131130
Yellow Medicine,5/8/2020,3,0,173,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,9930
Aitkin,5/9/2020,2,0,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast,15841
Anoka,5/9/2020,518,29,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,344861
Becker,5/9/2020,25,0,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,33552
Beltrami,5/9/2020,6,0,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,45847
Benton,5/9/2020,87,2,009,C,Urban/town/rural mix,EDR 7W- Central,Central,39360
Big Stone,5/9/2020,2,0,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,5039
Blue Earth,5/9/2020,64,0,013,D,Entirely urban,EDR 9 - South Central,Southwest,65767
Brown,5/9/2020,9,1,015,B,Town/rural mix,EDR 9 - South Central,Southwest,25243
Carlton,5/9/2020,64,0,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,35408
Carver,5/9/2020,78,1,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,98799
Cass,5/9/2020,8,0,021,B,Town/rural mix,EDR 5 - North Central,Northwest,28810
Chippewa,5/9/2020,5,0,023,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,12040
Chisago,5/9/2020,19,1,025,D,Entirely urban,EDR 7E- East Central,Central,54297
Clay,5/9/2020,233,16,027,D,Entirely urban,EDR 4 - West Central,Northwest,62040
Clearwater,5/9/2020,2,0,029,B,Town/rural mix,EDR 2 - Headwaters,Northwest,8824
Cook,5/9/2020,NA,NA,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast,5270
Cottonwood,5/9/2020,45,0,033,B,Town/rural mix,EDR 8 - Southwest,Southwest,11437
Crow Wing,5/9/2020,24,1,035,B,Town/rural mix,EDR 5 - North Central,Northwest,63505
Dakota,5/9/2020,408,15,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,414655
Dodge,5/9/2020,24,0,039,D,Entirely urban,EDR 10 - Southeast,Southeast,20485
Douglas,5/9/2020,15,0,041,B,Town/rural mix,EDR 4 - West Central,Northwest,36891
Faribault,5/9/2020,10,0,043,B,Town/rural mix,EDR 9 - South Central,Southwest,13966
Fillmore,5/9/2020,12,1,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,20825
Freeborn,5/9/2020,43,0,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,30619
Goodhue,5/9/2020,25,0,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,46138
Grant,5/9/2020,2,0,051,A,Entirely rural,EDR 4 - West Central,Northwest,5923
Hennepin,5/9/2020,3379,374,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,1224763
Houston,5/9/2020,2,0,055,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,18709
Hubbard,5/9/2020,NA,NA,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest,20743
Isanti,5/9/2020,7,0,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,38584
Itasca,5/9/2020,25,0,061,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,45237
Jackson,5/9/2020,31,0,063,B,Town/rural mix,EDR 8 - Southwest,Southwest,10104
Kanabec,5/9/2020,9,0,065,C,Urban/town/rural mix,EDR 7E- East Central,Central,15948
Kandiyohi,5/9/2020,276,1,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,42577
Kittson,5/9/2020,1,0,069,A,Entirely rural,EDR 1 - Northwest,Northwest,4384
Koochiching,5/9/2020,1,0,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,12776
Lac qui Parle,5/9/2020,2,0,073,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,6840
Lake,5/9/2020,1,0,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,10578
Lake of the Woods,5/9/2020,NA,NA,077,A,Entirely rural,EDR 2 - Headwaters,Northwest,3841
Le Sueur,5/9/2020,28,0,079,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,27810
Lincoln,5/9/2020,3,0,081,A,Entirely rural,EDR 8 - Southwest,Southwest,5724
Lyon,5/9/2020,17,0,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,25789
Mahnomen,5/9/2020,2,1,087,A,Entirely rural,EDR 2 - Headwaters,Northwest,5500
Marshall,5/9/2020,8,0,089,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest,9397
Martin,5/9/2020,112,4,091,B,Town/rural mix,EDR 9 - South Central,Southwest,20084
McLeod,5/9/2020,8,0,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,35816
Meeker,5/9/2020,21,0,093,B,Town/rural mix,EDR 6E- Southwest Central,Central,23105
Mille Lacs,5/9/2020,7,1,095,C,Urban/town/rural mix,EDR 7E- East Central,Central,25635
Morrison,5/9/2020,13,0,097,B,Town/rural mix,EDR 5 - North Central,Northwest,32880
Mower,5/9/2020,42,0,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,39386
Murray,5/9/2020,27,0,101,A,Entirely rural,EDR 8 - Southwest,Southwest,8394
Nicollet,5/9/2020,21,2,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,33477
Nobles,5/9/2020,1230,2,105,B,Town/rural mix,EDR 8 - Southwest,Southwest,21854
Norman,5/9/2020,9,0,107,A,Entirely rural,EDR 1 - Northwest,Northwest,6589
Olmsted,5/9/2020,363,9,109,D,Entirely urban,EDR 10 - Southeast,Southeast,151685
Otter Tail,5/9/2020,23,0,111,B,Town/rural mix,EDR 4 - West Central,Northwest,57790
Pennington,5/9/2020,1,0,113,B,Town/rural mix,EDR 1 - Northwest,Northwest,14197
Pine,5/9/2020,69,0,115,C,Urban/town/rural mix,EDR 7E- East Central,Central,29057
Pipestone,5/9/2020,7,0,117,B,Town/rural mix,EDR 8 - Southwest,Southwest,9229
Polk,5/9/2020,48,1,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest,31564
Pope,5/9/2020,5,0,121,B,Town/rural mix,EDR 4 - West Central,Northwest,10932
Ramsey,5/9/2020,875,43,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,537893
Red Lake,5/9/2020,1,0,125,A,Entirely rural,EDR 1 - Northwest,Northwest,4017
Redwood,5/9/2020,3,0,127,B,Town/rural mix,EDR 8 - Southwest,Southwest,15430
Renville,5/9/2020,6,0,129,A,Entirely rural,EDR 6E- Southwest Central,Central,14798
Rice,5/9/2020,102,1,131,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,65251
Rock,5/9/2020,19,0,133,C,Urban/town/rural mix,EDR 8 - Southwest,Southwest,9433
Roseau,5/9/2020,1,0,135,B,Town/rural mix,EDR 1 - Northwest,Northwest,15537
Scott,5/9/2020,129,1,139,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,141463
Sherburne,5/9/2020,107,1,141,D,Entirely urban,EDR 7W- Central,Central,92024
Sibley,5/9/2020,3,0,143,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,14888
St. Louis,5/9/2020,91,12,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,200294
Stearns,5/9/2020,1348,5,145,C,Urban/town/rural mix,EDR 7W- Central,Central,155300
Steele,5/9/2020,58,0,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,36612
Stevens,5/9/2020,1,0,149,B,Town/rural mix,EDR 4 - West Central,Northwest,9759
Swift,5/9/2020,3,0,151,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,9448
Todd,5/9/2020,33,0,153,B,Town/rural mix,EDR 5 - North Central,Northwest,24423
Traverse,5/9/2020,3,0,155,A,Entirely rural,EDR 4 - West Central,Northwest,3357
Wabasha,5/9/2020,13,0,157,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,21490
Wadena,5/9/2020,4,0,159,B,Town/rural mix,EDR 5 - North Central,Northwest,13626
Waseca,5/9/2020,16,0,161,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,18898
Washington,5/9/2020,231,14,163,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,250979
Watonwan,5/9/2020,22,0,165,B,Town/rural mix,EDR 9 - South Central,Southwest,10936
Wilkin,5/9/2020,11,3,167,B,Town/rural mix,EDR 4 - West Central,Northwest,6398
Winona,5/9/2020,70,15,169,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,50992
Wright,5/9/2020,92,1,171,C,Urban/town/rural mix,EDR 7W- Central,Central,131130
Yellow Medicine,5/9/2020,3,0,173,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,9930
Aitkin,5/10/2020,2,0,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast,15841
Anoka,5/10/2020,549,29,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,344861
Becker,5/10/2020,25,0,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,33552
Beltrami,5/10/2020,6,0,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,45847
Benton,5/10/2020,92,2,009,C,Urban/town/rural mix,EDR 7W- Central,Central,39360
Big Stone,5/10/2020,2,0,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,5039
Blue Earth,5/10/2020,65,0,013,D,Entirely urban,EDR 9 - South Central,Southwest,65767
Brown,5/10/2020,9,1,015,B,Town/rural mix,EDR 9 - South Central,Southwest,25243
Carlton,5/10/2020,64,0,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,35408
Carver,5/10/2020,82,1,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,98799
Cass,5/10/2020,8,1,021,B,Town/rural mix,EDR 5 - North Central,Northwest,28810
Chippewa,5/10/2020,6,0,023,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,12040
Chisago,5/10/2020,20,1,025,D,Entirely urban,EDR 7E- East Central,Central,54297
Clay,5/10/2020,235,17,027,D,Entirely urban,EDR 4 - West Central,Northwest,62040
Clearwater,5/10/2020,2,0,029,B,Town/rural mix,EDR 2 - Headwaters,Northwest,8824
Cook,5/10/2020,NA,NA,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast,5270
Cottonwood,5/10/2020,46,0,033,B,Town/rural mix,EDR 8 - Southwest,Southwest,11437
Crow Wing,5/10/2020,23,1,035,B,Town/rural mix,EDR 5 - North Central,Northwest,63505
Dakota,5/10/2020,430,15,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,414655
Dodge,5/10/2020,26,0,039,D,Entirely urban,EDR 10 - Southeast,Southeast,20485
Douglas,5/10/2020,16,0,041,B,Town/rural mix,EDR 4 - West Central,Northwest,36891
Faribault,5/10/2020,12,0,043,B,Town/rural mix,EDR 9 - South Central,Southwest,13966
Fillmore,5/10/2020,13,1,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,20825
Freeborn,5/10/2020,44,0,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,30619
Goodhue,5/10/2020,25,0,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,46138
Grant,5/10/2020,2,0,051,A,Entirely rural,EDR 4 - West Central,Northwest,5923
Hennepin,5/10/2020,3558,389,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,1224763
Houston,5/10/2020,2,0,055,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,18709
Hubbard,5/10/2020,NA,NA,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest,20743
Isanti,5/10/2020,7,0,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,38584
Itasca,5/10/2020,28,0,061,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,45237
Jackson,5/10/2020,32,0,063,B,Town/rural mix,EDR 8 - Southwest,Southwest,10104
Kanabec,5/10/2020,9,0,065,C,Urban/town/rural mix,EDR 7E- East Central,Central,15948
Kandiyohi,5/10/2020,284,1,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,42577
Kittson,5/10/2020,1,0,069,A,Entirely rural,EDR 1 - Northwest,Northwest,4384
Koochiching,5/10/2020,1,0,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,12776
Lac qui Parle,5/10/2020,2,0,073,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,6840
Lake,5/10/2020,1,0,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,10578
Lake of the Woods,5/10/2020,NA,NA,077,A,Entirely rural,EDR 2 - Headwaters,Northwest,3841
Le Sueur,5/10/2020,29,0,079,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,27810
Lincoln,5/10/2020,3,0,081,A,Entirely rural,EDR 8 - Southwest,Southwest,5724
Lyon,5/10/2020,17,0,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,25789
Mahnomen,5/10/2020,3,1,087,A,Entirely rural,EDR 2 - Headwaters,Northwest,5500
Marshall,5/10/2020,8,0,089,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest,9397
Martin,5/10/2020,112,4,091,B,Town/rural mix,EDR 9 - South Central,Southwest,20084
McLeod,5/10/2020,12,0,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,35816
Meeker,5/10/2020,21,0,093,B,Town/rural mix,EDR 6E- Southwest Central,Central,23105
Mille Lacs,5/10/2020,7,1,095,C,Urban/town/rural mix,EDR 7E- East Central,Central,25635
Morrison,5/10/2020,14,0,097,B,Town/rural mix,EDR 5 - North Central,Northwest,32880
Mower,5/10/2020,45,0,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,39386
Murray,5/10/2020,29,0,101,A,Entirely rural,EDR 8 - Southwest,Southwest,8394
Nicollet,5/10/2020,21,2,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,33477
Nobles,5/10/2020,1255,2,105,B,Town/rural mix,EDR 8 - Southwest,Southwest,21854
Norman,5/10/2020,10,0,107,A,Entirely rural,EDR 1 - Northwest,Northwest,6589
Olmsted,5/10/2020,368,9,109,D,Entirely urban,EDR 10 - Southeast,Southeast,151685
Otter Tail,5/10/2020,23,0,111,B,Town/rural mix,EDR 4 - West Central,Northwest,57790
Pennington,5/10/2020,1,0,113,B,Town/rural mix,EDR 1 - Northwest,Northwest,14197
Pine,5/10/2020,73,0,115,C,Urban/town/rural mix,EDR 7E- East Central,Central,29057
Pipestone,5/10/2020,7,0,117,B,Town/rural mix,EDR 8 - Southwest,Southwest,9229
Polk,5/10/2020,52,1,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest,31564
Pope,5/10/2020,5,0,121,B,Town/rural mix,EDR 4 - West Central,Northwest,10932
Ramsey,5/10/2020,920,45,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,537893
Red Lake,5/10/2020,2,0,125,A,Entirely rural,EDR 1 - Northwest,Northwest,4017
Redwood,5/10/2020,3,0,127,B,Town/rural mix,EDR 8 - Southwest,Southwest,15430
Renville,5/10/2020,6,0,129,A,Entirely rural,EDR 6E- Southwest Central,Central,14798
Rice,5/10/2020,114,1,131,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,65251
Rock,5/10/2020,19,0,133,C,Urban/town/rural mix,EDR 8 - Southwest,Southwest,9433
Roseau,5/10/2020,1,0,135,B,Town/rural mix,EDR 1 - Northwest,Northwest,15537
Scott,5/10/2020,140,1,139,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,141463
Sherburne,5/10/2020,109,1,141,D,Entirely urban,EDR 7W- Central,Central,92024
Sibley,5/10/2020,4,0,143,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,14888
St. Louis,5/10/2020,92,12,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,200294
Stearns,5/10/2020,1405,5,145,C,Urban/town/rural mix,EDR 7W- Central,Central,155300
Steele,5/10/2020,60,0,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,36612
Stevens,5/10/2020,1,0,149,B,Town/rural mix,EDR 4 - West Central,Northwest,9759
Swift,5/10/2020,5,0,151,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,9448
Todd,5/10/2020,36,0,153,B,Town/rural mix,EDR 5 - North Central,Northwest,24423
Traverse,5/10/2020,3,0,155,A,Entirely rural,EDR 4 - West Central,Northwest,3357
Wabasha,5/10/2020,13,0,157,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,21490
Wadena,5/10/2020,4,0,159,B,Town/rural mix,EDR 5 - North Central,Northwest,13626
Waseca,5/10/2020,16,0,161,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,18898
Washington,5/10/2020,247,15,163,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,250979
Watonwan,5/10/2020,22,0,165,B,Town/rural mix,EDR 9 - South Central,Southwest,10936
Wilkin,5/10/2020,11,3,167,B,Town/rural mix,EDR 4 - West Central,Northwest,6398
Winona,5/10/2020,71,15,169,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,50992
Wright,5/10/2020,102,1,171,C,Urban/town/rural mix,EDR 7W- Central,Central,131130
Yellow Medicine,5/10/2020,3,0,173,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,9930
Aitkin,5/11/2020,2,0,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast,15841
Anoka,5/11/2020,571,29,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,344861
Becker,5/11/2020,25,0,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,33552
Beltrami,5/11/2020,6,0,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,45847
Benton,5/11/2020,93,2,009,C,Urban/town/rural mix,EDR 7W- Central,Central,39360
Big Stone,5/11/2020,2,0,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,5039
Blue Earth,5/11/2020,67,0,013,D,Entirely urban,EDR 9 - South Central,Southwest,65767
Brown,5/11/2020,9,1,015,B,Town/rural mix,EDR 9 - South Central,Southwest,25243
Carlton,5/11/2020,64,0,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,35408
Carver,5/11/2020,92,1,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,98799
Cass,5/11/2020,8,1,021,B,Town/rural mix,EDR 5 - North Central,Northwest,28810
Chippewa,5/11/2020,14,0,023,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,12040
Chisago,5/11/2020,20,1,025,D,Entirely urban,EDR 7E- East Central,Central,54297
Clay,5/11/2020,247,17,027,D,Entirely urban,EDR 4 - West Central,Northwest,62040
Clearwater,5/11/2020,2,0,029,B,Town/rural mix,EDR 2 - Headwaters,Northwest,8824
Cook,5/11/2020,NA,NA,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast,5270
Cottonwood,5/11/2020,47,0,033,B,Town/rural mix,EDR 8 - Southwest,Southwest,11437
Crow Wing,5/11/2020,23,1,035,B,Town/rural mix,EDR 5 - North Central,Northwest,63505
Dakota,5/11/2020,471,15,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,414655
Dodge,5/11/2020,26,0,039,D,Entirely urban,EDR 10 - Southeast,Southeast,20485
Douglas,5/11/2020,16,0,041,B,Town/rural mix,EDR 4 - West Central,Northwest,36891
Faribault,5/11/2020,10,0,043,B,Town/rural mix,EDR 9 - South Central,Southwest,13966
Fillmore,5/11/2020,13,1,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,20825
Freeborn,5/11/2020,46,0,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,30619
Goodhue,5/11/2020,25,0,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,46138
Grant,5/11/2020,2,0,051,A,Entirely rural,EDR 4 - West Central,Northwest,5923
Hennepin,5/11/2020,3744,398,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,1224763
Houston,5/11/2020,2,0,055,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,18709
Hubbard,5/11/2020,NA,NA,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest,20743
Isanti,5/11/2020,8,0,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,38584
Itasca,5/11/2020,33,0,061,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,45237
Jackson,5/11/2020,33,0,063,B,Town/rural mix,EDR 8 - Southwest,Southwest,10104
Kanabec,5/11/2020,10,0,065,C,Urban/town/rural mix,EDR 7E- East Central,Central,15948
Kandiyohi,5/11/2020,316,1,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,42577
Kittson,5/11/2020,1,0,069,A,Entirely rural,EDR 1 - Northwest,Northwest,4384
Koochiching,5/11/2020,2,0,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,12776
Lac qui Parle,5/11/2020,2,0,073,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,6840
Lake,5/11/2020,1,0,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,10578
Lake of the Woods,5/11/2020,NA,NA,077,A,Entirely rural,EDR 2 - Headwaters,Northwest,3841
Le Sueur,5/11/2020,30,0,079,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,27810
Lincoln,5/11/2020,4,0,081,A,Entirely rural,EDR 8 - Southwest,Southwest,5724
Lyon,5/11/2020,18,0,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,25789
Mahnomen,5/11/2020,3,1,087,A,Entirely rural,EDR 2 - Headwaters,Northwest,5500
Marshall,5/11/2020,8,0,089,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest,9397
Martin,5/11/2020,112,4,091,B,Town/rural mix,EDR 9 - South Central,Southwest,20084
McLeod,5/11/2020,13,0,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,35816
Meeker,5/11/2020,21,0,093,B,Town/rural mix,EDR 6E- Southwest Central,Central,23105
Mille Lacs,5/11/2020,7,1,095,C,Urban/town/rural mix,EDR 7E- East Central,Central,25635
Morrison,5/11/2020,14,0,097,B,Town/rural mix,EDR 5 - North Central,Northwest,32880
Mower,5/11/2020,45,0,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,39386
