County,Date,Cases,Deaths,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region,total.pop
Red Lake,5/2/2020,1,0,125,A,Entirely rural,EDR 1 - Northwest,Northwest,4017
Redwood,5/2/2020,3,0,127,B,Town/rural mix,EDR 8 - Southwest,Southwest,15430
Renville,5/2/2020,5,0,129,A,Entirely rural,EDR 6E- Southwest Central,Central,14798
Rice,5/2/2020,18,1,131,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,65251
Rock,5/2/2020,16,0,133,C,Urban/town/rural mix,EDR 8 - Southwest,Southwest,9433
Roseau,5/2/2020,1,0,135,B,Town/rural mix,EDR 1 - Northwest,Northwest,15537
Scott,5/2/2020,52,1,139,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,141463
Sherburne,5/2/2020,50,0,141,D,Entirely urban,EDR 7W- Central,Central,92024
Sibley,5/2/2020,2,0,143,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,14888
St. Louis,5/2/2020,74,11,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,200294
Stearns,5/2/2020,531,0,145,C,Urban/town/rural mix,EDR 7W- Central,Central,155300
Steele,5/2/2020,20,0,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,36612
Stevens,5/2/2020,NA,NA,149,B,Town/rural mix,EDR 4 - West Central,Northwest,9759
Swift,5/2/2020,2,0,151,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,9448
Todd,5/2/2020,8,0,153,B,Town/rural mix,EDR 5 - North Central,Northwest,24423
Traverse,5/2/2020,2,0,155,A,Entirely rural,EDR 4 - West Central,Northwest,3357
Wabasha,5/2/2020,10,0,157,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,21490
Wadena,5/2/2020,1,0,159,B,Town/rural mix,EDR 5 - North Central,Northwest,13626
Waseca,5/2/2020,5,0,161,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,18898
Washington,5/2/2020,142,12,163,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,250979
Watonwan,5/2/2020,14,0,165,B,Town/rural mix,EDR 9 - South Central,Southwest,10936
Wilkin,5/2/2020,11,3,167,B,Town/rural mix,EDR 4 - West Central,Northwest,6398
Winona,5/2/2020,67,15,169,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,50992
Wright,5/2/2020,48,1,171,C,Urban/town/rural mix,EDR 7W- Central,Central,131130
Yellow Medicine,5/2/2020,3,0,173,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,9930
Aitkin,5/3/2020,1,0,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast,15841
Anoka,5/3/2020,281,17,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,344861
Becker,5/3/2020,10,0,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,33552
Beltrami,5/3/2020,6,0,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,45847
Benton,5/3/2020,32,1,009,C,Urban/town/rural mix,EDR 7W- Central,Central,39360
Big Stone,5/3/2020,2,0,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,5039
Blue Earth,5/3/2020,46,0,013,D,Entirely urban,EDR 9 - South Central,Southwest,65767
Brown,5/3/2020,8,1,015,B,Town/rural mix,EDR 9 - South Central,Southwest,25243
Carlton,5/3/2020,60,0,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,35408
Carver,5/3/2020,26,0,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,98799
Cass,5/3/2020,7,0,021,B,Town/rural mix,EDR 5 - North Central,Northwest,28810
Chippewa,5/3/2020,3,0,023,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,12040
Chisago,5/3/2020,13,1,025,D,Entirely urban,EDR 7E- East Central,Central,54297
Clay,5/3/2020,176,13,027,D,Entirely urban,EDR 4 - West Central,Northwest,62040
Clearwater,5/3/2020,2,0,029,B,Town/rural mix,EDR 2 - Headwaters,Northwest,8824
Cook,5/3/2020,NA,NA,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast,5270
Cottonwood,5/3/2020,28,0,033,B,Town/rural mix,EDR 8 - Southwest,Southwest,11437
Crow Wing,5/3/2020,21,1,035,B,Town/rural mix,EDR 5 - North Central,Northwest,63505
Dakota,5/3/2020,202,11,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,414655
Dodge,5/3/2020,22,0,039,D,Entirely urban,EDR 10 - Southeast,Southeast,20485
Douglas,5/3/2020,3,0,041,B,Town/rural mix,EDR 4 - West Central,Northwest,36891
Faribault,5/3/2020,6,0,043,B,Town/rural mix,EDR 9 - South Central,Southwest,13966
Fillmore,5/3/2020,13,1,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,20825
Freeborn,5/3/2020,35,0,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,30619
Goodhue,5/3/2020,21,0,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,46138
Grant,5/3/2020,1,0,051,A,Entirely rural,EDR 4 - West Central,Northwest,5923
Hennepin,5/3/2020,2151,277,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,1224763
