County,Date,Cases,Deaths,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region
Rock,5/2/2020,16,0,133,C,Urban/town/rural mix,EDR 8 - Southwest,Southwest
Roseau,5/2/2020,1,0,135,B,Town/rural mix,EDR 1 - Northwest,Northwest
Scott,5/2/2020,52,1,139,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Sherburne,5/2/2020,50,0,141,D,Entirely urban,EDR 7W- Central,Central
Sibley,5/2/2020,2,0,143,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
St. Louis,5/2/2020,74,11,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast
Stearns,5/2/2020,531,0,145,C,Urban/town/rural mix,EDR 7W- Central,Central
Steele,5/2/2020,20,0,147,B,Town/rural mix,EDR 10 - Southeast,Southeast
Stevens,5/2/2020,NA,NA,149,B,Town/rural mix,EDR 4 - West Central,Northwest
Swift,5/2/2020,2,0,151,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Todd,5/2/2020,8,0,153,B,Town/rural mix,EDR 5 - North Central,Northwest
Traverse,5/2/2020,2,0,155,A,Entirely rural,EDR 4 - West Central,Northwest
Wabasha,5/2/2020,10,0,157,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Wadena,5/2/2020,1,0,159,B,Town/rural mix,EDR 5 - North Central,Northwest
Waseca,5/2/2020,5,0,161,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Washington,5/2/2020,142,12,163,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Watonwan,5/2/2020,14,0,165,B,Town/rural mix,EDR 9 - South Central,Southwest
Wilkin,5/2/2020,11,3,167,B,Town/rural mix,EDR 4 - West Central,Northwest
Winona,5/2/2020,67,15,169,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Wright,5/2/2020,48,1,171,C,Urban/town/rural mix,EDR 7W- Central,Central
Yellow Medicine,5/2/2020,3,0,173,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Aitkin,5/3/2020,1,0,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Anoka,5/3/2020,281,17,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Becker,5/3/2020,10,0,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
Beltrami,5/3/2020,6,0,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Benton,5/3/2020,32,1,009,C,Urban/town/rural mix,EDR 7W- Central,Central
Big Stone,5/3/2020,2,0,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest
Blue Earth,5/3/2020,46,0,013,D,Entirely urban,EDR 9 - South Central,Southwest
Brown,5/3/2020,8,1,015,B,Town/rural mix,EDR 9 - South Central,Southwest
Carlton,5/3/2020,60,0,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast
Carver,5/3/2020,26,0,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Cass,5/3/2020,7,0,021,B,Town/rural mix,EDR 5 - North Central,Northwest
Chippewa,5/3/2020,3,0,023,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Chisago,5/3/2020,13,1,025,D,Entirely urban,EDR 7E- East Central,Central
Clay,5/3/2020,176,13,027,D,Entirely urban,EDR 4 - West Central,Northwest
Clearwater,5/3/2020,2,0,029,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Cook,5/3/2020,NA,NA,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Cottonwood,5/3/2020,28,0,033,B,Town/rural mix,EDR 8 - Southwest,Southwest
Crow Wing,5/3/2020,21,1,035,B,Town/rural mix,EDR 5 - North Central,Northwest
Dakota,5/3/2020,202,11,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Dodge,5/3/2020,22,0,039,D,Entirely urban,EDR 10 - Southeast,Southeast
Douglas,5/3/2020,3,0,041,B,Town/rural mix,EDR 4 - West Central,Northwest
Faribault,5/3/2020,6,0,043,B,Town/rural mix,EDR 9 - South Central,Southwest
Fillmore,5/3/2020,13,1,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Freeborn,5/3/2020,35,0,047,B,Town/rural mix,EDR 10 - Southeast,Southeast
Goodhue,5/3/2020,21,0,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Grant,5/3/2020,1,0,051,A,Entirely rural,EDR 4 - West Central,Northwest
Hennepin,5/3/2020,2151,277,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Houston,5/3/2020,1,0,055,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Hubbard,5/3/2020,NA,NA,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest
