County,Date,Cases,Deaths,County,Date,Cases,Deaths,County,Date,Cases,Deaths,County,Date,Cases,Deaths,County,Date,Cases,Deaths,County,Date,Cases,Deaths,County,Date,Cases,Deaths,County,Date,Cases,Deaths,County,Date,Cases,Deaths,County,Date,Cases,Deaths,County,Date,Cases,Deaths
Crow Wing,5/2/2020,21,1,Crow Wing,5/3/2020,21,1,Crow Wing,5/4/2020,21,1,Crow Wing,5/5/2020,21,1,Crow Wing,5/6/2020,21,1,Crow Wing,5/7/2020,23,1,Crow Wing,5/8/2020,24,1,Crow Wing,5/9/2020,24,1,Crow Wing,5/10/2020,23,1,Crow Wing,5/11/2020,23,1,Crow Wing,5/12/2020,23,1
Dakota,5/2/2020,189,11,Dakota,5/3/2020,202,11,Dakota,5/4/2020,215,11,Dakota,5/5/2020,241,11,Dakota,5/6/2020,292,12,Dakota,5/7/2020,322,12,Dakota,5/8/2020,364,12,Dakota,5/9/2020,408,15,Dakota,5/10/2020,430,15,Dakota,5/11/2020,471,15,Dakota,5/12/2020,508,15
Dodge,5/2/2020,22,0,Dodge,5/3/2020,22,0,Dodge,5/4/2020,21,0,Dodge,5/5/2020,21,0,Dodge,5/6/2020,21,0,Dodge,5/7/2020,21,0,Dodge,5/8/2020,24,0,Dodge,5/9/2020,24,0,Dodge,5/10/2020,26,0,Dodge,5/11/2020,26,0,Dodge,5/12/2020,26,0
Douglas,5/2/2020,3,0,Douglas,5/3/2020,3,0,Douglas,5/4/2020,7,0,Douglas,5/5/2020,10,0,Douglas,5/6/2020,12,0,Douglas,5/7/2020,14,0,Douglas,5/8/2020,15,0,Douglas,5/9/2020,15,0,Douglas,5/10/2020,16,0,Douglas,5/11/2020,16,0,Douglas,5/12/2020,17,0
Faribault,5/2/2020,6,0,Faribault,5/3/2020,6,0,Faribault,5/4/2020,7,0,Faribault,5/5/2020,7,0,Faribault,5/6/2020,8,0,Faribault,5/7/2020,7,0,Faribault,5/8/2020,7,0,Faribault,5/9/2020,10,0,Faribault,5/10/2020,12,0,Faribault,5/11/2020,10,0,Faribault,5/12/2020,10,0
Fillmore,5/2/2020,13,1,Fillmore,5/3/2020,13,1,Fillmore,5/4/2020,13,1,Fillmore,5/5/2020,12,1,Fillmore,5/6/2020,12,1,Fillmore,5/7/2020,12,1,Fillmore,5/8/2020,12,1,Fillmore,5/9/2020,12,1,Fillmore,5/10/2020,13,1,Fillmore,5/11/2020,13,1,Fillmore,5/12/2020,14,1
Freeborn,5/2/2020,35,0,Freeborn,5/3/2020,35,0,Freeborn,5/4/2020,36,0,Freeborn,5/5/2020,37,0,Freeborn,5/6/2020,38,0,Freeborn,5/7/2020,39,0,Freeborn,5/8/2020,41,0,Freeborn,5/9/2020,43,0,Freeborn,5/10/2020,44,0,Freeborn,5/11/2020,46,0,Freeborn,5/12/2020,46,0
Goodhue,5/2/2020,21,0,Goodhue,5/3/2020,21,0,Goodhue,5/4/2020,23,0,Goodhue,5/5/2020,23,0,Goodhue,5/6/2020,23,0,Goodhue,5/7/2020,25,0,Goodhue,5/8/2020,25,0,Goodhue,5/9/2020,25,0,Goodhue,5/10/2020,25,0,Goodhue,5/11/2020,25,0,Goodhue,5/12/2020,26,0
Grant,5/2/2020,1,0,Grant,5/3/2020,1,0,Grant,5/4/2020,1,0,Grant,5/5/2020,1,0,Grant,5/6/2020,1,0,Grant,5/7/2020,1,0,Grant,5/8/2020,2,0,Grant,5/9/2020,2,0,Grant,5/10/2020,2,0,Grant,5/11/2020,2,0,Grant,5/12/2020,2,0
Hennepin,5/2/2020,"1,980",259,Hennepin,5/3/2020,"2,151",277,Hennepin,5/4/2020,"2,298",284,Hennepin,5/5/2020,"2,519",303,Hennepin,5/6/2020,"2,764",325,Hennepin,5/7/2020,"2,962",342,Hennepin,5/8/2020,"3,153",362,Hennepin,5/9/2020,"3,379",374,Hennepin,5/10/2020,"3,558",389,Hennepin,5/11/2020,"3,744",398,Hennepin,5/12/2020,"4,033",412
Houston,5/2/2020,1,0,Houston,5/3/2020,1,0,Houston,5/4/2020,1,0,Houston,5/5/2020,1,0,Houston,5/6/2020,1,0,Houston,5/7/2020,2,0,Houston,5/8/2020,2,0,Houston,5/9/2020,2,0,Houston,5/10/2020,2,0,Houston,5/11/2020,2,0,Houston,5/12/2020,2,0
Isanti,5/2/2020,6,0,Isanti,5/3/2020,6,0,Isanti,5/4/2020,6,0,Isanti,5/5/2020,6,0,Isanti,5/6/2020,7,0,Isanti,5/7/2020,7,0,Isanti,5/8/2020,7,0,Isanti,5/9/2020,7,0,Isanti,5/10/2020,7,0,Isanti,5/11/2020,8,0,Isanti,5/12/2020,10,0
Itasca,5/2/2020,7,0,Itasca,5/3/2020,11,0,Itasca,5/4/2020,12,0,Itasca,5/5/2020,13,0,Itasca,5/6/2020,24,0,Itasca,5/7/2020,24,0,Itasca,5/8/2020,24,0,Itasca,5/9/2020,25,0,Itasca,5/10/2020,28,0,Itasca,5/11/2020,33,0,Itasca,5/12/2020,35,2
Jackson,5/2/2020,18,0,Jackson,5/3/2020,18,0,Jackson,5/4/2020,24,0,Jackson,5/5/2020,25,0,Jackson,5/6/2020,25,0,Jackson,5/7/2020,29,0,Jackson,5/8/2020,29,0,Jackson,5/9/2020,31,0,Jackson,5/10/2020,32,0,Jackson,5/11/2020,33,0,Jackson,5/12/2020,33,0
Kanabec,5/2/2020,1,0,Kanabec,5/3/2020,1,0,Kanabec,5/4/2020,1,0,Kanabec,5/5/2020,2,0,Kanabec,5/6/2020,2,0,Kanabec,5/7/2020,4,0,Kanabec,5/8/2020,5,0,Kanabec,5/9/2020,9,0,Kanabec,5/10/2020,9,0,Kanabec,5/11/2020,10,0,Kanabec,5/12/2020,10,0
Kandiyohi,5/2/2020,145,1,Kandiyohi,5/3/2020,167,1,Kandiyohi,5/4/2020,188,1,Kandiyohi,5/5/2020,200,1,Kandiyohi,5/6/2020,211,1,Kandiyohi,5/7/2020,238,1,Kandiyohi,5/8/2020,261,1,Kandiyohi,5/9/2020,276,1,Kandiyohi,5/10/2020,284,1,Kandiyohi,5/11/2020,316,1,Kandiyohi,5/12/2020,367,1
Kittson,5/2/2020,1,0,Kittson,5/3/2020,1,0,Kittson,5/4/2020,1,0,Kittson,5/5/2020,1,0,Kittson,5/6/2020,1,0,Kittson,5/7/2020,1,0,Kittson,5/8/2020,1,0,Kittson,5/9/2020,1,0,Kittson,5/10/2020,1,0,Kittson,5/11/2020,1,0,Kittson,5/12/2020,1,0
Koochiching,5/2/2020,1,0,Koochiching,5/3/2020,1,0,Koochiching,5/4/2020,1,0,Koochiching,5/5/2020,1,0,Koochiching,5/6/2020,1,0,Koochiching,5/7/2020,1,0,Koochiching,5/8/2020,1,0,Koochiching,5/9/2020,1,0,Koochiching,5/10/2020,1,0,Koochiching,5/11/2020,2,0,Koochiching,5/12/2020,2,0
Lac qui Parle,5/2/2020,1,0,Lac qui Parle,5/3/2020,1,0,Lac qui Parle,5/4/2020,2,0,Lac qui Parle,5/5/2020,2,0,Lac qui Parle,5/6/2020,2,0,Lac qui Parle,5/7/2020,2,0,Lac qui Parle,5/8/2020,2,0,Lac qui Parle,5/9/2020,2,0,Lac qui Parle,5/10/2020,2,0,Lac qui Parle,5/11/2020,2,0,Lac qui Parle,5/12/2020,2,0
Le Sueur,5/2/2020,25,0,Le Sueur,5/3/2020,26,0,Le Sueur,5/4/2020,26,0,Le Sueur,5/5/2020,26,0,Le Sueur,5/6/2020,26,0,Lake,5/7/2020,1,0,Lake,5/8/2020,1,0,Lake,5/9/2020,1,0,Lake,5/10/2020,1,0,Lake,5/11/2020,1,0,Lake,5/12/2020,1,0
Lincoln,5/2/2020,3,0,Lincoln,5/3/2020,3,0,Lincoln,5/4/2020,3,0,Lincoln,5/5/2020,3,0,Lincoln,5/6/2020,3,0,Le Sueur,5/7/2020,28,0,Le Sueur,5/8/2020,28,0,Le Sueur,5/9/2020,28,0,Le Sueur,5/10/2020,29,0,Le Sueur,5/11/2020,30,0,Le Sueur,5/12/2020,31,1
Lyon,5/2/2020,8,0,Lyon,5/3/2020,9,0,Lyon,5/4/2020,9,0,Lyon,5/5/2020,10,0,Lyon,5/6/2020,11,0,Lincoln,5/7/2020,3,0,Lincoln,5/8/2020,3,0,Lincoln,5/9/2020,3,0,Lincoln,5/10/2020,3,0,Lincoln,5/11/2020,4,0,Lincoln,5/12/2020,4,0
Mahnomen,5/2/2020,2,0,Mahnomen,5/3/2020,2,0,Mahnomen,5/4/2020,2,0,Mahnomen,5/5/2020,2,0,Mahnomen,5/6/2020,2,1,Lyon,5/7/2020,15,0,Lyon,5/8/2020,16,0,Lyon,5/9/2020,17,0,Lyon,5/10/2020,17,0,Lyon,5/11/2020,18,0,Lyon,5/12/2020,20,0
Marshall,5/2/2020,3,0,Marshall,5/3/2020,5,0,Marshall,5/4/2020,7,0,Marshall,5/5/2020,7,0,Marshall,5/6/2020,7,0,Mahnomen,5/7/2020,2,1,Mahnomen,5/8/2020,2,1,Mahnomen,5/9/2020,2,1,Mahnomen,5/10/2020,3,1,Mahnomen,5/11/2020,3,1,Mahnomen,5/12/2020,3,1
Martin,5/2/2020,110,4,Martin,5/3/2020,109,4,Martin,5/4/2020,108,4,Martin,5/5/2020,110,4,Martin,5/6/2020,111,4,Marshall,5/7/2020,8,0,Marshall,5/8/2020,8,0,Marshall,5/9/2020,8,0,Marshall,5/10/2020,8,0,Marshall,5/11/2020,8,0,Marshall,5/12/2020,8,0
McLeod,5/2/2020,4,0,McLeod,5/3/2020,4,0,McLeod,5/4/2020,4,0,McLeod,5/5/2020,5,0,McLeod,5/6/2020,6,0,Martin,5/7/2020,111,4,Martin,5/8/2020,111,4,Martin,5/9/2020,112,4,Martin,5/10/2020,112,4,Martin,5/11/2020,112,4,Martin,5/12/2020,112,4
Meeker,5/2/2020,14,0,Meeker,5/3/2020,15,0,Meeker,5/4/2020,17,0,Meeker,5/5/2020,17,0,Meeker,5/6/2020,18,0,McLeod,5/7/2020,6,0,McLeod,5/8/2020,8,0,McLeod,5/9/2020,8,0,McLeod,5/10/2020,12,0,McLeod,5/11/2020,13,0,McLeod,5/12/2020,14,0
Mille Lacs,5/2/2020,2,1,Mille Lacs,5/3/2020,2,1,Mille Lacs,5/4/2020,3,1,Mille Lacs,5/5/2020,4,1,Mille Lacs,5/6/2020,5,1,Meeker,5/7/2020,18,0,Meeker,5/8/2020,20,0,Meeker,5/9/2020,21,0,Meeker,5/10/2020,21,0,Meeker,5/11/2020,21,0,Meeker,5/12/2020,23,0
Morrison,5/2/2020,6,0,Morrison,5/3/2020,6,0,Morrison,5/4/2020,6,0,Morrison,5/5/2020,7,0,Morrison,5/6/2020,9,0,Mille Lacs,5/7/2020,6,1,Mille Lacs,5/8/2020,6,1,Mille Lacs,5/9/2020,7,1,Mille Lacs,5/10/2020,7,1,Mille Lacs,5/11/2020,7,1,Mille Lacs,5/12/2020,7,1
Mower,5/2/2020,28,0,Mower,5/3/2020,28,0,Mower,5/4/2020,32,0,Mower,5/5/2020,33,0,Mower,5/6/2020,35,0,Morrison,5/7/2020,11,0,Morrison,5/8/2020,12,0,Morrison,5/9/2020,13,0,Morrison,5/10/2020,14,0,Morrison,5/11/2020,14,0,Morrison,5/12/2020,16,0
Murray,5/2/2020,16,0,Murray,5/3/2020,17,0,Murray,5/4/2020,17,0,Murray,5/5/2020,20,0,Murray,5/6/2020,20,0,Mower,5/7/2020,36,0,Mower,5/8/2020,37,0,Mower,5/9/2020,42,0,Mower,5/10/2020,45,0,Mower,5/11/2020,45,0,Mower,5/12/2020,45,0
Nicollet,5/2/2020,15,2,Nicollet,5/3/2020,15,2,Nicollet,5/4/2020,16,2,Nicollet,5/5/2020,16,2,Nicollet,5/6/2020,17,2,Murray,5/7/2020,25,0,Murray,5/8/2020,26,0,Murray,5/9/2020,27,0,Murray,5/10/2020,29,0,Murray,5/11/2020,29,0,Murray,5/12/2020,29,0
Nobles,5/2/2020,899,1,Nobles,5/3/2020,940,1,Nobles,5/4/2020,"1,011",1,Nobles,5/5/2020,"1,069",1,Nobles,5/6/2020,"1,082",2,Nicollet,5/7/2020,18,2,Nicollet,5/8/2020,18,2,Nicollet,5/9/2020,21,2,Nicollet,5/10/2020,21,2,Nicollet,5/11/2020,21,2,Nicollet,5/12/2020,22,2
