County,Date,Cases,Deaths,County,Date,Cases,Deaths,County,Date,Cases,Deaths,County,Date,Cases,Deaths,County,Date,Cases,Deaths,County,Date,Cases,Deaths,County,Date,Cases,Deaths,County,Date,Cases,Deaths,County,Date,Cases,Deaths,County,Date,Cases,Deaths,County,Date,Cases,Deaths
Traverse,5/2/2020,2,0,Traverse,5/3/2020,2,0,Traverse,5/4/2020,2,0,Todd,5/5/2020,15,0,Todd,5/6/2020,18,0,Stevens,5/7/2020,1,0,Stevens,5/8/2020,1,0,Stevens,5/9/2020,1,0,Stevens,5/10/2020,1,0,Stevens,5/11/2020,1,0,Stevens,5/12/2020,1,0
Wabasha,5/2/2020,10,0,Wabasha,5/3/2020,10,0,Wabasha,5/4/2020,10,0,Traverse,5/5/2020,2,0,Traverse,5/6/2020,2,0,Swift,5/7/2020,2,0,Swift,5/8/2020,3,0,Swift,5/9/2020,3,0,Swift,5/10/2020,5,0,Swift,5/11/2020,8,0,Swift,5/12/2020,9,0
Wadena,5/2/2020,1,0,Wadena,5/3/2020,1,0,Wadena,5/4/2020,2,0,Wabasha,5/5/2020,10,0,Wabasha,5/6/2020,10,0,Todd,5/7/2020,26,0,Todd,5/8/2020,29,0,Todd,5/9/2020,33,0,Todd,5/10/2020,36,0,Todd,5/11/2020,38,0,Todd,5/12/2020,42,0
Waseca,5/2/2020,5,0,Waseca,5/3/2020,6,0,Waseca,5/4/2020,6,0,Wadena,5/5/2020,3,0,Wadena,5/6/2020,3,0,Traverse,5/7/2020,2,0,Traverse,5/8/2020,3,0,Traverse,5/9/2020,3,0,Traverse,5/10/2020,3,0,Traverse,5/11/2020,3,0,Traverse,5/12/2020,3,0
Washington,5/2/2020,142,12,Washington,5/3/2020,146,12,Washington,5/4/2020,152,12,Waseca,5/5/2020,6,0,Waseca,5/6/2020,7,0,Wabasha,5/7/2020,12,0,Wabasha,5/8/2020,13,0,Wabasha,5/9/2020,13,0,Unknown/missing,5/10/2020,18,0,Wabasha,5/11/2020,13,0,Wabasha,5/12/2020,13,0
Watonwan,5/2/2020,14,0,Watonwan,5/3/2020,14,0,Watonwan,5/4/2020,15,0,Washington,5/5/2020,162,12,Washington,5/6/2020,181,12,Wadena,5/7/2020,4,0,Wadena,5/8/2020,4,0,Wadena,5/9/2020,4,0,Wabasha,5/10/2020,13,0,Wadena,5/11/2020,4,0,Wadena,5/12/2020,4,0
Wilkin,5/2/2020,11,3,Wilkin,5/3/2020,11,3,Wilkin,5/4/2020,11,3,Watonwan,5/5/2020,15,0,Watonwan,5/6/2020,15,0,Waseca,5/7/2020,12,0,Waseca,5/8/2020,13,0,Waseca,5/9/2020,16,0,Wadena,5/10/2020,4,0,Waseca,5/11/2020,16,0,Waseca,5/12/2020,16,0
Winona,5/2/2020,67,15,Winona,5/3/2020,67,15,Winona,5/4/2020,67,15,Wilkin,5/5/2020,11,3,Wilkin,5/6/2020,11,3,Washington,5/7/2020,193,12,Washington,5/8/2020,211,12,Washington,5/9/2020,231,14,Waseca,5/10/2020,16,0,Washington,5/11/2020,256,15,Washington,5/12/2020,266,16
Wright,5/2/2020,48,1,Wright,5/3/2020,50,1,Wright,5/4/2020,54,1,Winona,5/5/2020,68,15,Winona,5/6/2020,68,15,Watonwan,5/7/2020,18,0,Watonwan,5/8/2020,19,0,Watonwan,5/9/2020,22,0,Washington,5/10/2020,247,15,Watonwan,5/11/2020,25,0,Watonwan,5/12/2020,28,0
Yellow Medicine,5/2/2020,3,0,Yellow Medicine,5/3/2020,3,0,Yellow Medicine,5/4/2020,3,0,Wright,5/5/2020,60,1,Wright,5/6/2020,69,1,Wilkin,5/7/2020,11,3,Wilkin,5/8/2020,11,3,Wilkin,5/9/2020,11,3,Watonwan,5/10/2020,22,0,Wilkin,5/11/2020,11,3,Wilkin,5/12/2020,11,3
,,,,,,,,,,,,Yellow Medicine,5/5/2020,3,0,Yellow Medicine,5/6/2020,3,0,Winona,5/7/2020,68,15,Winona,5/8/2020,68,15,Winona,5/9/2020,70,15,Wilkin,5/10/2020,11,3,Winona,5/11/2020,71,15,Winona,5/12/2020,71,15
,,,,,,,,,,,,Unknown/missing,5/5/2020,22,1,Unknown/missing,5/6/2020,11,0,Wright,5/7/2020,73,1,Wright,5/8/2020,83,1,Wright,5/9/2020,92,1,Winona,5/10/2020,71,15,Wright,5/11/2020,110,1,Wright,5/12/2020,119,1
,,,,,,,,,,,,,,,,,,,,Yellow Medicine,5/7/2020,3,0,Yellow Medicine,5/8/2020,3,0,Yellow Medicine,5/9/2020,3,0,Wright,5/10/2020,102,1,Yellow Medicine,5/11/2020,3,0,Yellow Medicine,5/12/2020,3,0
,,,,,,,,,,,,,,,,,,,,Unknown/missing,5/7/2020,20,0,Unknown/missing,5/8/2020,31,0,Unknown/missing,5/9/2020,17,0,Yellow Medicine,5/10/2020,3,0,Unknown/missing,5/11/2020,25,0,Unknown/missing,5/12/2020,30,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/10/2020,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
