County,Date,Cases,Deaths
Aitkin,5/14/2020,2,0
Anoka,5/14/2020,678,35
Becker,5/14/2020,30,0
Beltrami,5/14/2020,8,0
Benton,5/14/2020,109,2
Big Stone,5/14/2020,2,0
Blue Earth,5/14/2020,71,0
Brown,5/14/2020,10,2
Carlton,5/14/2020,66,0
Carver,5/14/2020,103,1
Cass,5/14/2020,9,2
Chippewa,5/14/2020,27,0
Chisago,5/14/2020,25,1
Clay,5/14/2020,273,18
Clearwater,5/14/2020,2,0
Cook,5/14/2020,0,0
Cottonwood,5/14/2020,51,0
Crow Wing,5/14/2020,24,1
Dakota,5/14/2020,562,16
Dodge,5/14/2020,28,0
Douglas,5/14/2020,17,0
Faribault,5/14/2020,9,0
Fillmore,5/14/2020,16,1
Freeborn,5/14/2020,52,0
Goodhue,5/14/2020,29,0
Grant,5/14/2020,2,0
Hennepin,5/14/2020,"4,331",441
Houston,5/14/2020,2,0
Hubbard,5/14/2020,0,0
Isanti,5/14/2020,11,0
Itasca,5/14/2020,41,2
Jackson,5/14/2020,34,0
Kanabec,5/14/2020,10,0
Kandiyohi,5/14/2020,386,1
Kittson,5/14/2020,1,0
Koochiching,5/14/2020,3,0
Lac qui Parle,5/14/2020,2,0
Lake,5/14/2020,1,0
Lake of the Woods,5/14/2020,0,0
Le Sueur,5/14/2020,31,1
Lincoln,5/14/2020,4,0
Lyon,5/14/2020,22,0
McLeod ,5/14/2020,15,0
Mahnomen ,5/14/2020,5,1
Marshall ,5/14/2020,8,0
Martin ,5/14/2020,113,4
Meeker ,5/14/2020,24,0
Mille Lacs ,5/14/2020,7,1
Morrison ,5/14/2020,21,0
Mower ,5/14/2020,50,0
Murray ,5/14/2020,30,0
Nicollet,5/14/2020,23,2
Nobles,5/14/2020,"1,319",2
Norman,5/14/2020,11,0
Olmsted,5/14/2020,399,9
Otter Tail,5/14/2020,33,0
Pennington,5/14/2020,1,0
Pine,5/14/2020,80,0
Pipestone,5/14/2020,9,0
Polk,5/14/2020,55,2
Pope,5/14/2020,5,0
Ramsey,5/14/2020,"1,167",56
Red Lake,5/14/2020,2,0
Redwood,5/14/2020,3,0
Renville,5/14/2020,5,0
Rice,5/14/2020,181,2
Rock,5/14/2020,19,0
Roseau,5/14/2020,1,0
St. Louis,5/14/2020,100,12
Scott,5/14/2020,186,1
Sherburne,5/14/2020,130,1
Sibley ,5/14/2020,4,0
Stearns ,5/14/2020,"1,609",9
Steele ,5/14/2020,85,0
Stevens,5/14/2020,1,0
Swift,5/14/2020,10,0
Todd,5/14/2020,46,0
Traverse,5/14/2020,3,0
Wabasha,5/14/2020,16,0
Wadena,5/14/2020,4,0
Waseca,5/14/2020,18,0
Washington,5/14/2020,282,18
Watonwan,5/14/2020,32,0
Wilkin,5/14/2020,11,3
Winona,5/14/2020,74,15
Wright,5/14/2020,130,1
Yellow Medicine,5/14/2020,3,0
Unknown/missing,5/14/2020,21,0  
